Tweet,Label
@bezalelsm נראה לי שהמקרה מזכיר לך את ימך היפים בגבעות שהיית טרוריסט גזען כמוהם לא? אין כמו קצת נוסטלגיה בזמנים קשים,Not offensive
@haim_goldberg אתמול היה הפגנה מול ביתו של אלי בן ארוש במעלה אדומים רוצח הנער אהוביה סנדק אולי נעשה הפגנה מול כל שוטר אלים שידעו שהם לא יכולים לעשות מה שהם רוצים,Not offensive
"אימו של אהוביה סנדק הטיחה בשר אוחנה: ""ממשלה מטומטמת, יהודי לא רוצח יהודי"". מה בעצם היא אומרת - שיהודי יכול לרצוח ערבי? שערבי יכול לרצוח יהודי? לא מבין מה זאת תפיסת העולם הזו. לא מבין. https://t.co/j5iDLsXc4p",Not offensive
"1/2 היום יום הולדתו ה-27 של חלל צה״ל סמ""ר אורון שאול, שמוחזק על ידי חמאס מעל לשש שנים, בהפרה בוטה של הדין הבינ״ל, יחד עם הדר גולדין ז״ל, והאזרחים אברה מנגיסטו והישאם א-סייד. אחיו אופק אמר היום: ""זה יום הולדת עצוב מאוד. מיום הכי משמח בעולם - זה נהפך ליום אחד הקשים בשנה.״ https://t.co/ElSl52yZ5A",Not offensive
נסראללה: יורש העצר הסעודי ביקש מטראמפ לרצוח אותי https://t.co/U6fdagRgiP,Not offensive
RT @mendy_silber: @idanlandau @saritm0 @attilus ערבי שתומך ביהודים זה ערבי מחמד? כי מה מצופה מערבי לא מחמד? ציוץ מתנשא וגזעני כלפי האוכלוס…,Not offensive
RT @avribloch: חייל ממצפה הילה הילד של כולנו - מתנחל מאיתמר לא.,Not offensive
@Lordsimon15 אוקייי אז עוד עשר דקות כזה למרות שאני מביך רצח ואני לא יודע לדבר אבל כן,Not offensive
"קיין רצח את הבל. ישראל פרי ""קין רצח את הבל"". יאיר לוי: שוב פרי נתפס בשקרים ובפייק ניוז האופיינים אותו (העילג טעה במקור). מדובר באירוע (רצח, ביג דיל) שהתקיים לפני שמשה ירד עם עשרת הדיברות, מה שלא מנע ממנו לציין כי זה קורה 'רגע לפני מתן תורה'. https://t.co/XSuOTLnDfR",Not offensive
"@ZigdonL @YosephHaddad @idanlandau כמו שאתה אומר יום וליל ""כיבוש"" זה לא אומר שזה נכון,אי אפשר לכבוש שטח ממדינה מומצאת...",Not offensive
@BenCaspit טריק של הנאשם לשרוף כמה עשרות (?) אלפי קולות שרוצים שינוי.,Not offensive
@barzik מעניין. אני אגב בספק אם גופי ביטחון שמעוניינים לעקוב בעיקר אחרי טרור בדארקנט (ולאחרונה בקורונה גם קצת אחרי אזרחים רגילים) לא הכניסו כבר כמות יפה שכזו כך שיוכלו לזהות תנועה גם בtor..,Not offensive
"@daddyaarca @youreoncbs @ItaloChiguire קודם כל, מהי פלסטין?",Not offensive
@Likud_Party הזקנה במסדרונות בית החולים הזקנה במגרש החניה מפלגת טינפות חלאות המין האנושי אל תשכחו זבלים 3 כדורים החליפו שלטון בעקבות הסתה פושעת שניהל נגד רבין הארכי מסית בעזרתם של רבני ישע פשע רשע וחילהם נבלות החזיר עם הכיפות הסרוחות ימח שמם וזכר זכרם https://t.co/XffKDDfmYj,Not offensive
@GalonItay אז כל ילד ערבי שזורק אבנים או בקתבים על גיפ צהל דינו מוות ? זה מיותר וזה מיותר,Not offensive
"@benny_wol מחבל (יהודי, ערבי, קונגולזי או בקיצור כ״א) שיוצא לפגע, ולא משנה אם הוא עושה את זה עם אבן, אקדח, בקת״ב או גוגו, שייקח בחשבון שזה יכול להיות סופו. פשוט לא?",Not offensive
@YosephHaddad @arisade94 @idanlandau לנדאו פנה כל כך שמאלה שאנשי חמאס כבר מתנערים ממנו כקיצוני מדי,Not offensive
"@yotameyal אולי תתפלא, אבל אתמול נערכה הפגנה מול ביתו של אחד השוטרים, במעלה אדומים. בני הנוער שהפגינו ברחוב קראו ""א' רוצח ילדים"". עם יד על הלב - הוא ובני משפחתו יכולים לצאת בשלווה מביתם?",Not offensive
"פרסום ראשון: הרש""פ סיכלה פיגוע דקירה נגד חיילים. מקורות פלסטינים מסרו ל-@kann_news כי מנגנוני הרשות עצרו שלשום 2 פלסטיניות משכם שהיו בדרכן לדקור חיילים/מתנחלים באזור חווארה שמדרום לשכם. הן בחקירה כעת בצד הפלסטיני. הסיכול התרחש לאחר שבחודש שעבר חודש התיאום הביטחוני בין ישראל לרשות",Not offensive
"הפיתוחים החדשים שישמשו את צה""ל נגד ארגוני הטרור: בעוד ארגונים כמו חמאס וחיזבאללה שכללו את יכולותיהם בעזרת מערכות שהגיעו לשוק האזרחי, בצה""ל פועלים להטמיע טכנולוגיות מתקדמות שיאפשרו קישוריות בין זרועות הצבא. הפרויקטים שיאפשרו לצבא להיערך למלחמה הבאה https://t.co/mrhxB9yhDK",Not offensive
"@jonklinger @barzik א. אתה לא יודע שהוא לא שומר לוגים ב. אם נקודת היציאה קבועה והתעבורה הגלויה שם גלויה למישהו, לא מאוד קשה בדרך כלל לקשור בסבירות גבוהה את התעבורה אליך. למשתמש המצוי זה לא ממש משנה כי *אבל* זה מנרמל שימוש ב- Tor שזה חשוב ביום שתהפך להיות מתנגד משטר סמולן עוכר ישראל בוגד המדינה",Not offensive
סרטון של זונה מחופשת לשוטרת מ@IL_police מכה כמו חיה עמלקית יהודי חרדי נראה שהסרטונים האלה לא מרגשים את הדחליל הממונה @AmirOhana אז אני אומר לך דמם על ידך ימח שמך למי שיש את הפרטים של הטינופת *מצווה לפרסם בכל מקום* https://t.co/0kjocClvlJ,Not offensive
"ארבעת יושבי הרכב שבו נסע אהוביה סנדק נחקרו היום למעלה משמונה שעות במשטרה. שניים מהם שוחררו כבר בשישי. הם חשודים ביידוי אבנים לעבר רכב פלסטיני, ובגרימת מותו של אהוביה ברשלנות",Not offensive
